INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('83#雷电分析仪',4.6,'是','异常','闭合',203.4,204.8,176.0,27.5,29.9,66.1,236.4,232.5,234.6,2.8,28.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('76#雷电分析仪',4.5,'否','异常','闭合',129.8,157.5,197.6,76.8,15.9,76.7,134.9,175.6,136.1,4.7,23.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('99#雷电分析仪',2.8,'否','正常','闭合',134.2,211.3,190.8,53.1,39.8,59.0,226.1,102.6,175.1,4.6,29.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('90#雷电分析仪',7.0,'是','正常','闭合',146.3,135.2,162.6,19.3,34.4,67.6,237.8,210.4,232.1,1.9,34.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('56#雷电分析仪',4.8,'是','异常','打开',195.0,107.3,215.5,64.1,79.9,32.0,142.0,166.8,104.4,7.6,32.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('39#雷电分析仪',0.9,'否','正常','闭合',163.8,117.4,171.1,28.2,24.1,88.5,215.8,120.1,166.6,4.7,28.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('89#雷电分析仪',5.6,'否','异常','打开',152.1,189.8,130.2,45.0,49.6,14.9,142.3,166.9,216.2,9.5,33.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('52#雷电分析仪',0.0,'是','异常','闭合',222.3,196.2,206.1,34.7,45.1,65.8,163.2,217.9,194.2,4.8,27.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('50#雷电分析仪',0.0,'是','异常','打开',146.2,149.1,126.9,89.7,47.3,28.9,177.3,207.0,123.3,3.5,38.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('71#雷电分析仪',9.1,'否','正常','闭合',145.9,178.4,110.8,88.3,23.7,43.5,116.6,227.6,104.5,9.7,39.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('36#雷电分析仪',3.1,'是','正常','闭合',118.6,185.5,213.2,29.3,15.6,39.3,123.1,124.8,133.3,9.7,24.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('2#雷电分析仪',0.1,'否','异常','打开',230.1,214.3,148.0,72.1,54.9,88.7,218.2,168.0,224.4,8.3,38.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('96#雷电分析仪',4.1,'否','异常','打开',209.4,155.9,220.2,13.8,30.3,81.5,176.8,215.7,187.8,0.5,39.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('96#雷电分析仪',4.0,'否','异常','闭合',117.6,215.0,235.2,86.6,17.3,54.1,106.6,113.8,147.3,9.6,24.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('79#雷电分析仪',0.3,'是','异常','闭合',217.8,156.4,115.4,83.9,33.8,69.2,169.5,195.1,108.7,2.5,30.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('36#雷电分析仪',1.3,'否','异常','打开',191.3,162.5,138.6,13.3,41.0,26.7,136.9,128.4,129.7,5.2,27.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('97#雷电分析仪',0.9,'是','正常','闭合',179.5,112.2,214.6,71.0,39.6,24.5,152.5,203.8,169.9,2.5,28.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('45#雷电分析仪',6.3,'否','正常','闭合',181.3,239.7,153.8,31.8,44.2,76.0,126.5,148.8,171.5,7.3,23.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('8#雷电分析仪',8.6,'否','异常','打开',120.1,135.8,188.4,75.2,85.6,35.3,208.6,159.4,182.9,6.5,36.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('2#雷电分析仪',9.0,'是','异常','打开',132.5,214.1,101.8,60.4,44.9,61.2,172.0,124.9,151.7,8.4,37.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('99#雷电分析仪',0.5,'是','正常','打开',207.8,120.2,116.3,65.9,45.9,49.2,115.1,150.1,188.4,0.1,37.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('2#雷电分析仪',8.5,'是','异常','闭合',101.0,103.9,200.9,23.9,83.6,21.0,154.9,115.0,204.2,1.3,39.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('71#雷电分析仪',1.0,'否','正常','闭合',103.3,112.5,202.6,26.0,30.5,51.0,145.5,232.4,183.7,8.3,35.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('13#雷电分析仪',4.4,'是','异常','闭合',107.6,186.7,127.0,47.5,84.1,61.1,201.4,154.8,152.2,9.3,27.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('47#雷电分析仪',4.1,'是','正常','闭合',149.0,130.0,223.0,78.5,69.4,32.0,216.6,211.1,125.7,2.2,22.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('61#雷电分析仪',0.9,'是','异常','闭合',134.8,187.1,226.0,26.0,88.0,56.6,161.1,102.2,196.9,5.4,39.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('70#雷电分析仪',8.9,'否','正常','打开',120.0,194.5,185.8,71.4,41.7,26.7,179.2,162.5,233.4,7.5,39.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('1#雷电分析仪',7.0,'是','正常','闭合',174.2,211.7,122.4,32.1,17.9,77.0,107.0,110.0,134.2,4.3,34.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('47#雷电分析仪',5.4,'是','正常','打开',187.7,215.2,128.5,63.2,51.7,51.8,196.2,135.1,151.3,5.1,31.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('55#雷电分析仪',8.5,'是','正常','打开',174.0,147.5,125.9,20.2,81.9,23.6,187.8,104.6,231.2,9.4,30.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('77#雷电分析仪',7.2,'是','正常','闭合',217.7,135.7,201.2,29.9,38.6,60.1,196.9,200.5,140.7,5.2,33.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('32#雷电分析仪',9.4,'否','正常','闭合',133.6,180.6,197.9,47.8,60.0,19.4,234.4,233.9,104.6,3.1,30.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('72#雷电分析仪',7.5,'是','正常','打开',179.5,124.0,167.5,45.0,83.5,25.6,233.6,232.7,135.0,2.8,36.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('72#雷电分析仪',3.6,'否','正常','打开',193.5,116.0,120.5,71.7,64.9,68.4,236.8,223.0,106.5,8.8,38.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('79#雷电分析仪',6.3,'是','异常','闭合',220.3,129.0,163.4,10.1,89.2,76.4,232.7,215.6,110.1,8.2,22.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('65#雷电分析仪',0.3,'是','异常','打开',198.8,162.9,117.5,10.2,18.2,78.1,178.5,107.1,116.5,8.7,23.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('18#雷电分析仪',2.7,'否','异常','打开',211.8,232.7,111.5,69.8,78.5,49.1,198.2,126.3,224.0,8.5,26.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('3#雷电分析仪',2.5,'否','异常','打开',194.7,170.6,109.6,71.2,16.9,59.9,178.9,201.7,110.2,6.3,27.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('56#雷电分析仪',5.9,'是','异常','打开',229.0,148.6,146.5,86.0,33.9,37.9,175.1,230.3,161.9,8.1,24.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('10#雷电分析仪',8.7,'是','正常','打开',233.8,109.1,169.4,63.1,52.3,76.8,204.6,160.7,239.6,9.6,31.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('48#雷电分析仪',8.7,'否','正常','打开',191.4,181.0,237.9,29.7,60.6,29.9,213.0,145.7,230.9,0.4,29.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('83#雷电分析仪',3.0,'是','异常','打开',164.3,215.1,134.1,87.5,30.9,37.5,167.7,105.5,170.4,6.7,30.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('57#雷电分析仪',2.7,'否','正常','闭合',159.0,152.3,196.7,35.3,40.5,63.9,117.4,131.4,206.2,3.6,27.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('17#雷电分析仪',6.2,'否','正常','打开',113.4,126.9,132.6,53.7,36.2,86.6,160.1,236.2,151.0,2.4,28.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('59#雷电分析仪',8.0,'是','正常','闭合',139.6,141.3,125.2,16.8,30.6,70.9,159.9,172.7,120.5,5.1,27.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('55#雷电分析仪',7.9,'否','异常','打开',227.4,125.0,189.1,42.3,33.1,46.1,157.7,181.4,113.3,3.5,38.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('84#雷电分析仪',7.7,'否','正常','闭合',158.2,190.4,131.4,29.4,88.8,83.5,145.3,100.0,130.1,1.2,21.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('5#雷电分析仪',1.9,'否','异常','闭合',194.7,225.7,225.7,62.2,38.7,79.9,174.1,173.3,237.8,4.6,37.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('36#雷电分析仪',0.1,'否','异常','闭合',176.3,104.0,131.0,46.2,58.0,33.0,161.5,141.2,113.0,0.0,27.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('58#雷电分析仪',9.7,'是','异常','闭合',218.2,146.0,118.7,60.3,43.3,57.6,213.9,226.5,157.1,4.5,32.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('79#雷电分析仪',6.9,'否','正常','打开',181.0,155.0,186.9,81.3,33.9,22.9,172.1,228.0,184.7,0.3,24.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('69#雷电分析仪',5.7,'否','正常','打开',187.5,131.9,174.8,39.8,24.8,35.5,196.2,210.7,106.7,3.5,28.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('6#雷电分析仪',8.7,'是','正常','打开',149.9,154.2,215.1,75.6,39.9,12.4,167.9,185.3,132.6,7.0,28.8);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('82#雷电分析仪',4.0,'是','异常','打开',181.8,176.0,130.5,73.8,44.7,14.2,184.7,189.3,211.5,8.7,25.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('69#雷电分析仪',0.7,'否','正常','闭合',230.8,217.5,176.2,75.5,58.6,67.3,207.0,123.4,188.0,0.5,22.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('89#雷电分析仪',6.6,'否','异常','闭合',193.5,221.8,228.8,67.2,66.9,20.7,180.6,180.9,124.1,3.3,24.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('44#雷电分析仪',3.6,'是','正常','闭合',114.3,171.5,228.5,51.2,67.3,57.4,206.2,178.8,107.9,9.3,36.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('5#雷电分析仪',8.2,'是','正常','闭合',159.2,231.2,120.6,59.7,32.5,46.0,123.1,193.5,113.5,2.2,22.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('1#雷电分析仪',1.9,'是','正常','打开',107.5,184.1,232.1,34.3,70.1,66.0,131.2,181.8,237.7,0.5,38.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('68#雷电分析仪',1.4,'是','异常','打开',176.5,238.6,127.7,31.6,19.5,45.4,224.0,141.7,106.2,5.9,21.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('26#雷电分析仪',0.2,'是','正常','闭合',220.2,192.9,175.2,16.9,47.1,70.6,195.2,130.3,165.0,1.6,33.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('44#雷电分析仪',0.9,'否','异常','闭合',126.5,100.4,145.6,22.4,84.0,88.9,117.2,188.5,145.2,2.0,22.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('44#雷电分析仪',5.5,'否','异常','打开',226.0,108.7,124.2,76.1,25.8,77.9,129.7,158.0,149.7,4.4,30.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('25#雷电分析仪',0.6,'否','正常','打开',180.5,137.0,120.9,18.2,35.4,64.5,102.0,124.3,238.7,9.5,22.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('99#雷电分析仪',7.9,'是','正常','闭合',137.4,197.9,135.8,48.1,56.5,79.7,184.0,201.1,232.4,2.1,38.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('39#雷电分析仪',6.9,'是','正常','打开',150.5,147.8,123.7,59.5,69.8,22.1,234.0,137.7,216.5,8.6,33.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('56#雷电分析仪',4.8,'是','正常','闭合',136.9,114.3,195.2,70.8,12.2,78.5,138.5,115.9,149.2,8.3,22.0);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('4#雷电分析仪',4.9,'是','正常','打开',114.0,151.1,185.6,65.4,83.2,75.0,118.0,208.2,160.0,1.6,22.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('26#雷电分析仪',9.6,'是','异常','闭合',168.0,125.0,159.7,88.4,41.8,36.2,169.5,164.7,127.4,9.8,30.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('92#雷电分析仪',4.3,'否','异常','闭合',235.9,174.2,205.2,36.3,89.2,32.9,190.5,219.7,113.5,2.0,31.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('65#雷电分析仪',7.0,'否','异常','闭合',211.2,177.7,174.1,55.4,65.6,75.6,206.6,182.0,127.4,9.4,23.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('84#雷电分析仪',7.9,'是','正常','闭合',202.5,135.6,183.2,72.9,22.0,36.5,140.7,104.2,128.7,8.8,29.5);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('28#雷电分析仪',7.5,'是','正常','打开',177.9,200.2,219.8,48.7,63.4,77.7,124.4,201.2,209.8,6.5,38.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('76#雷电分析仪',4.8,'是','正常','打开',202.9,205.8,100.6,37.0,19.9,30.1,199.2,124.4,216.0,9.7,34.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('76#雷电分析仪',7.7,'是','正常','闭合',159.4,230.6,196.7,33.7,61.7,55.7,203.9,136.6,201.8,1.4,37.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('70#雷电分析仪',2.7,'否','异常','闭合',136.1,137.7,102.6,24.5,63.0,73.0,211.1,204.8,169.5,8.3,33.2);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('35#雷电分析仪',6.9,'否','正常','打开',126.3,227.6,230.1,63.2,52.4,65.2,224.7,121.3,134.1,0.9,33.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('45#雷电分析仪',4.5,'否','异常','打开',105.3,221.4,153.5,21.1,83.8,61.8,221.3,224.5,172.1,4.6,36.4);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('97#雷电分析仪',3.4,'否','异常','闭合',177.6,215.5,181.2,10.1,58.5,66.3,172.6,213.0,233.7,6.9,37.7);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('72#雷电分析仪',0.9,'是','异常','闭合',154.0,135.4,231.1,34.3,80.6,61.6,216.9,123.5,165.9,7.6,25.3);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('76#雷电分析仪',3.1,'否','正常','闭合',233.8,124.8,179.2,35.3,43.4,85.4,207.8,169.1,217.4,5.1,29.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('95#雷电分析仪',6.5,'是','异常','闭合',180.1,180.8,102.5,17.0,25.4,10.1,188.9,150.6,201.0,0.8,38.6);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('75#雷电分析仪',6.3,'否','异常','闭合',133.8,201.9,161.5,22.0,61.3,79.5,121.4,193.5,194.4,1.7,39.1);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('71#雷电分析仪',8.0,'是','异常','闭合',151.2,219.5,208.3,20.0,46.4,24.4,237.9,228.6,179.5,8.1,36.9);
INSERT INTO terminal2 (terminal_description, resistance, earthing, SPD, kk, UA, UB, UC, IA, IB, IC,IrA, IrB, IrC, humidity, temperature) VALUES('1#雷电分析仪',9.2,'否','正常','闭合',107.2,132.2,124.9,70.0,70.4,51.2,108.5,177.6,169.0,6.7,34.9);
